epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,77.8666,0.54071,0.49877,0.86229,0.85441,0.8358,0.88823,0.68795,0.86367,0.82385,0.9416,8.07574e-05,8.07574e-05,8.07574e-05
41,82.3455,0.48369,0.48459,0.82665,0.88577,0.79524,0.86727,0.71969,0.75738,0.74198,0.90998,7.56288e-05,7.56288e-05,7.56288e-05
42,84.4804,0.4698,0.45989,0.83126,0.97567,0.74753,0.87981,0.7523,0.67762,0.65667,0.88909,7.01403e-05,7.01403e-05,7.01403e-05
43,86.6354,0.47349,0.45061,0.82323,0.96001,0.78537,0.88543,0.77467,0.6655,0.61025,0.88903,6.42918e-05,6.42918e-05,6.42918e-05
44,88.8651,0.44206,0.43888,0.81638,0.94985,0.87271,0.90806,0.78316,0.65938,0.58654,0.88247,5.80833e-05,5.80833e-05,5.80833e-05
45,91.105,0.41677,0.43793,0.82167,0.95059,0.86656,0.90453,0.77152,0.6803,0.62515,0.88595,5.15148e-05,5.15148e-05,5.15148e-05
46,93.011,0.44822,0.4185,0.82577,0.96268,0.84892,0.90659,0.77895,0.6887,0.62428,0.89815,4.45864e-05,4.45864e-05,4.45864e-05
47,95.0053,0.39674,0.39775,0.83063,0.97947,0.83753,0.91227,0.79664,0.62349,0.58966,0.83792,3.72981e-05,3.72981e-05,3.72981e-05
48,97.2335,0.43352,0.42142,0.81845,0.92352,0.87521,0.91629,0.80612,0.5965,0.58679,0.81997,2.96498e-05,2.96498e-05,2.96498e-05
49,99.4777,0.39112,0.39696,0.81229,0.92471,0.87329,0.9203,0.8086,0.57168,0.58395,0.81026,2.16415e-05,2.16415e-05,2.16415e-05
50,101.662,0.3829,0.38199,0.81063,0.93227,0.87013,0.9213,0.81361,0.55997,0.57184,0.80551,1.32732e-05,1.32732e-05,1.32732e-05
