epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,22.1378,0.5924,0.59186,0.83996,0.98093,0.92534,0.98667,0.79626,0.72268,0.46327,0.82332,0.000153148,0.000153148,0.000153148
42,22.736,0.6478,0.59887,0.88109,0.96536,0.98975,0.995,0.81895,0.70709,0.46984,0.81937,0.000141991,0.000141991,0.000141991
43,23.1517,0.67028,0.64794,0.83659,0.96536,0.98975,0.995,0.81895,0.70709,0.46984,0.81937,0.000130114,0.000130114,0.000130114
44,23.6766,0.55336,0.54926,0.83241,0.96556,0.99169,0.995,0.81649,0.68439,0.46198,0.81066,0.000117517,0.000117517,0.000117517
45,24.2274,0.57948,0.55101,0.83136,0.96556,0.99169,0.995,0.81649,0.68439,0.46198,0.81066,0.0001042,0.0001042,0.0001042
46,24.6947,0.57478,0.58804,0.84595,0.96574,0.99328,0.995,0.83088,0.65997,0.45878,0.80442,9.01637e-05,9.01637e-05,9.01637e-05
47,25.1693,0.57538,0.57072,0.83103,0.96574,0.99328,0.995,0.83088,0.65997,0.45878,0.80442,7.5407e-05,7.5407e-05,7.5407e-05
48,25.6998,0.55504,0.55442,0.84395,0.96391,0.99516,0.995,0.81672,0.64929,0.44965,0.80288,5.99304e-05,5.99304e-05,5.99304e-05
49,26.1383,0.5522,0.54673,0.8196,0.96391,0.99516,0.995,0.81672,0.64929,0.44965,0.80288,4.37338e-05,4.37338e-05,4.37338e-05
50,26.6849,0.4906,0.54564,0.81423,0.96382,0.99566,0.995,0.81146,0.65364,0.4423,0.80457,2.68173e-05,2.68173e-05,2.68173e-05
1,0.856119,2.15552,4.14044,1.5208,0.03662,0.37976,0.07707,0.03362,2.27112,3.79861,1.64978,9.09e-06,9.09e-06,9.09e-06
2,1.30978,2.07393,4.06706,1.54867,0.03784,0.39167,0.0804,0.03384,2.30777,3.78895,1.66467,2.63701e-05,2.63701e-05,2.63701e-05
3,1.66644,2.09311,4.0972,1.52159,0.05081,0.52262,0.19919,0.09614,2.23169,3.31593,1.59541,4.24503e-05,4.24503e-05,4.24503e-05
4,2.21267,1.98728,3.09336,1.46172,0.57997,0.26528,0.38391,0.20897,2.08871,2.58216,1.51847,5.73306e-05,5.73306e-05,5.73306e-05
5,2.95237,1.89887,2.31188,1.39597,0.89327,0.26786,0.49631,0.25318,2.07633,2.19269,1.55028,7.10111e-05,7.10111e-05,7.10111e-05
6,3.51302,1.82557,1.87553,1.28071,0.79497,0.52276,0.63857,0.31413,1.94022,1.67922,1.43575,8.34917e-05,8.34917e-05,8.34917e-05
7,4.2526,1.52242,1.54171,1.18195,0.79639,0.77443,0.82288,0.42479,1.73514,1.33082,1.31709,9.47723e-05,9.47723e-05,9.47723e-05
8,4.69363,1.41733,1.39662,1.12705,0.76465,0.91202,0.89251,0.51628,1.53821,1.66249,1.20358,0.000104853,0.000104853,0.000104853
9,5.22217,1.26986,1.25497,1.10187,0.79559,0.9108,0.91937,0.5464,1.46973,1.43054,1.1685,0.000113734,0.000113734,0.000113734
10,6.04311,1.24045,1.12383,1.08351,0.84057,0.92629,0.93369,0.56661,1.40742,1.17765,1.14586,0.000121415,0.000121415,0.000121415
11,6.70992,1.10568,1.11141,1.01829,0.90082,0.90631,0.93599,0.5798,1.34491,1.02887,1.11912,0.000127896,0.000127896,0.000127896
12,7.24677,1.03865,0.99286,1.03142,0.91045,0.94048,0.94851,0.60868,1.3132,0.97101,1.09665,0.000133178,0.000133178,0.000133178
13,7.67798,1.03491,1.05166,0.98946,0.91213,0.96391,0.95051,0.62389,1.27414,0.97308,1.06512,0.000137259,0.000137259,0.000137259
14,8.11461,1.02187,0.93199,0.97565,0.89561,0.97976,0.96448,0.642,1.22695,0.91238,1.05049,0.000140141,0.000140141,0.000140141
15,8.60302,0.9766,0.84999,0.96643,0.91605,0.98218,0.97094,0.63823,1.20849,0.87311,1.0405,0.000141822,0.000141822,0.000141822
16,9.02891,0.94695,0.84575,0.9475,0.93206,0.97919,0.97786,0.64573,1.16218,0.86852,1.01565,0.000142304,0.000142304,0.000142304
17,9.51973,0.87207,0.82461,0.93779,0.92652,0.98745,0.97533,0.65304,1.14879,0.80822,1.01069,0.000141586,0.000141586,0.000141586
18,9.99598,0.89895,0.82304,0.90843,0.94606,0.96698,0.97793,0.65801,1.14027,0.74789,1.00325,0.000139668,0.000139668,0.000139668
19,10.5214,0.85744,0.78481,0.90455,0.93212,0.96103,0.95187,0.66212,1.12377,0.70571,0.98923,0.00013655,0.00013655,0.00013655
20,11.0034,0.87318,0.76142,0.91379,0.92962,0.95893,0.96567,0.6776,1.08924,0.69671,0.98134,0.000132232,0.000132232,0.000132232
21,13.1424,0.77166,0.82912,0.89277,0.94084,0.93444,0.96163,0.6713,1.08545,0.68737,0.97771,0.000126715,0.000126715,0.000126715
22,13.8787,0.81903,0.82048,0.89209,0.97629,0.92153,0.97597,0.69937,1.0717,0.69969,0.96289,0.000119997,0.000119997,0.000119997
23,14.376,0.73311,0.78068,0.88997,0.98429,0.92049,0.97635,0.71816,1.04258,0.68222,0.94187,0.00011208,0.00011208,0.00011208
24,14.8237,0.69727,0.73328,0.91658,0.99089,0.92466,0.98589,0.72795,1.00111,0.6356,0.92828,0.000102962,0.000102962,0.000102962
25,15.3245,0.68699,0.72092,0.8898,0.98192,0.94938,0.98829,0.74061,0.94891,0.60871,0.91682,9.26453e-05,9.26453e-05,9.26453e-05
26,16.0069,0.69153,0.72949,0.86657,0.97998,0.94938,0.98829,0.75864,0.92037,0.56782,0.91186,8.11282e-05,8.11282e-05,8.11282e-05
27,16.5334,0.65568,0.7102,0.87836,0.98073,0.94908,0.98886,0.77093,0.90972,0.54069,0.9058,6.84113e-05,6.84113e-05,6.84113e-05
28,16.9768,0.70723,0.75187,0.85062,0.98073,0.94908,0.98886,0.77093,0.90972,0.54069,0.9058,5.44945e-05,5.44945e-05,5.44945e-05
29,17.5219,0.73462,0.72562,0.86669,0.98172,0.94969,0.99014,0.76683,0.90513,0.52692,0.90633,3.93779e-05,3.93779e-05,3.93779e-05
30,17.9867,0.66408,0.69999,0.88355,0.9822,0.95034,0.9914,0.76584,0.89787,0.51934,0.90571,2.30613e-05,2.30613e-05,2.30613e-05
1,0.838911,2.15552,4.14044,1.5208,0.03662,0.37976,0.07707,0.03362,2.27112,3.79861,1.64978,9.09e-06,9.09e-06,9.09e-06
