epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,20.7872,0.61274,0.59727,0.87423,0.98816,0.94959,0.992,0.82778,0.70974,0.52757,0.87358,0.000153148,0.000153148,0.000153148
42,21.3828,0.66222,0.63731,0.91,0.98495,0.95187,0.99224,0.82438,0.69706,0.51916,0.86767,0.000141991,0.000141991,0.000141991
43,21.7456,0.69621,0.69417,0.87505,0.98495,0.95187,0.99224,0.82438,0.69706,0.51916,0.86767,0.000130114,0.000130114,0.000130114
44,22.1541,0.58357,0.56109,0.86352,0.98606,0.95487,0.98947,0.82296,0.68858,0.50673,0.86359,0.000117517,0.000117517,0.000117517
45,22.5978,0.53092,0.54716,0.83551,0.98606,0.95487,0.98947,0.82296,0.68858,0.50673,0.86359,0.0001042,0.0001042,0.0001042
46,22.9867,0.53213,0.58753,0.87235,0.95665,0.9381,0.98104,0.8175,0.70258,0.50631,0.86832,9.01637e-05,9.01637e-05,9.01637e-05
47,23.4037,0.55487,0.57688,0.84475,0.95665,0.9381,0.98104,0.8175,0.70258,0.50631,0.86832,7.5407e-05,7.5407e-05,7.5407e-05
48,23.7928,0.56512,0.56129,0.85918,0.953,0.93349,0.98155,0.81087,0.6881,0.49934,0.86339,5.99304e-05,5.99304e-05,5.99304e-05
49,24.1802,0.55057,0.55163,0.84151,0.953,0.93349,0.98155,0.81087,0.6881,0.49934,0.86339,4.37338e-05,4.37338e-05,4.37338e-05
50,24.6097,0.52294,0.54162,0.85696,0.95283,0.93283,0.98167,0.82327,0.67603,0.49447,0.86077,2.68173e-05,2.68173e-05,2.68173e-05
